time_observed_at,time_zone,latitude,longitude
2019-03-08 16:49:00 UTC,Pacific Time (US & Canada),48.4120613494,-123.3436859521
2019-03-06 00:21:00 UTC,Pacific Time (US & Canada),48.4973627,-123.3824832
2019-03-19 21:42:27 UTC,Pacific Time (US & Canada),48.5035166667,-123.3905416667
2019-03-19 23:43:26 UTC,Pacific Time (US & Canada),48.4572219849,-123.5074996948
2019-03-20 17:38:30 UTC,Pacific Time (US & Canada),48.4721966667,-123.3125916667
2019-03-21 19:57:02 UTC,Pacific Time (US & Canada),48.4118333333,-123.34375
2019-03-22 17:53:10 UTC,Pacific Time (US & Canada),49.1353207429,-123.9365925149
2019-03-21 19:52:00 UTC,Pacific Time (US & Canada),48.4571819079,-123.5074498279
2019-03-24 20:27:50 UTC,Pacific Time (US & Canada),48.5749588013,-123.4429168701
2019-03-24 20:00:21 UTC,Pacific Time (US & Canada),48.5815325493,-123.3974725168
2019-03-27 20:22:28 UTC,Pacific Time (US & Canada),48.4601151455,-123.3958223927
2019-03-24 21:10:16 UTC,Pacific Time (US & Canada),49.6923184859,-124.9332809821
2017-06-08 23:29:00 UTC,Pacific Time (US & Canada),48.4714084544,-123.4068019491
2019-04-07 20:16:05 UTC,Pacific Time (US & Canada),48.4686083333,-123.3182216667
2019-04-07 20:16:02 UTC,Pacific Time (US & Canada),48.4686083333,-123.3182216667
2019-04-07 04:34:00 UTC,Auckland,48.5254759049,-123.414704352
2019-04-22 21:09:53 UTC,Pacific Time (US & Canada),48.566328725,-123.4553164244
2019-04-25 20:00:49 UTC,Pacific Time (US & Canada),48.5643383333,-123.4388016667
2019-04-25 20:02:32 UTC,Pacific Time (US & Canada),48.5643116667,-123.4390483333
2019-04-28 19:24:09 UTC,Pacific Time (US & Canada),48.4751563753,-123.3726805822
2019-04-28 21:37:41 UTC,Pacific Time (US & Canada),48.5667614838,-123.4554059077
,Pacific Time (US & Canada),48.515737,-123.427821
2019-05-03 00:15:39 UTC,Pacific Time (US & Canada),48.4740645216,-123.4063367691
2019-05-05 23:27:32 UTC,Pacific Time (US & Canada),48.4566650391,-123.5083312988
2019-05-13 15:16:37 UTC,Pacific Time (US & Canada),48.4757489347,-123.3686990903
2019-05-22 00:36:49 UTC,Pacific Time (US & Canada),48.4600259923,-123.3871773352
